COORDENADA_X;COORDENADA_Y;NODO;X_NODO;Y_NODO;DISTANCIA_BASE-NODO;TIEMPO(V=prom)
35.1;45.4;4068;36;46;1.081665383;0.036502961
98.7;77.8;3696;99;73;4.809365863;0.162301667
31.1;87.7;3201;33;88;1.923538406;0.064913649
58.8;62;2984;58;61;1.280624847;0.043217246
107.4;111.3;2004;107;112;0.806225775;0.027207701
80.9;68.6;3412;80;69;0.98488578;0.03323694
26.1;0.2;2466;27;1;1.204159458;0.040636768
97.2;46.3;2421;97;46;0.360555128;0.012167654
29.6;91.7;4191;31;92;1.431782106;0.04831835
83.6;40.9;2465;84;41;0.412310563;0.013914244
72.8;-7.1;2824;73;-8;0.921954446;0.031113196
33.5;39.7;3071;34;41;1.392838828;0.047004131
22.1;82.2;4423;23;82;0.921954446;0.031113196
39.5;61.9;3077;40;61;1.029563014;0.034744662
27.5;-10.4;2244;25;-10;2.53179778;0.085440578
38.8;73.9;2639;39;74;0.223606798;0.007546058
58.2;76;3436;58;76;0.2;0.0067494
54.9;99.4;3662;56;98;1.780449381;0.060084824
63.4;82.1;4459;63;83;0.98488578;0.03323694
69.5;65.8;2883;70;66;0.538516481;0.018173315
121.7;-23.5;3989;121;-25;1.655294536;0.055861224
4.7;-30.5;4296;6;-32;1.984943324;0.066985881
21.7;-20.8;2151;20;-20;1.878829423;0.063404855
155.4;-9.2;4065;153;-8;2.683281573;0.090552701
109.6;117.7;3017;107;118;2.617250466;0.08832435
131.7;57.4;3183;132;54;3.413209633;0.115185583
