COORDENADA_X;COORDENADA_Y;NODO;X_NODO;Y_NODO;DISTANCIA_NODO-CENTRO;TIEMPO(V=prom)
93;73;2783;93;72;1;0.033746999
44.9;48.4;4105;45;48;0.412310563;0.013914244
39.7;48.8;644;40;49;0.360555128;0.012167654
51;78.3;2509;51;78;0.3;0.0101241
25.7;48.4;2301;26;49;0.670820393;0.022638175
66.1;47.6;2400;66;48;0.412310563;0.013914244
16.1;75;4045;17;76;1.345362405;0.045401944
49.1;79.8;4016;48;80;1.118033989;0.037730292
24.9;41.3;3531;25;41;0.316227766;0.010671738
59;50.7;4453;59;51;0.3;0.0101241
3.4;26.7;2205;2;28;1.910497317;0.064473552
64.8;25.4;548;64;27;1.788854382;0.060368468
61.4;41.5;632;61;42;0.640312424;0.021608623
103.8;69.9;3148;104;70;0.223606798;0.007546058
72.3;-14.9;3565;73;-15;0.707106781;0.023862732
31.5;71.8;3040;33;71;1.7;0.057369899
29.1;99.5;3055;31;98;2.420743687;0.081692836
22.3;27.5;3015;22;27;0.583095189;0.019677713
59.6;34.6;2459;60;35;0.565685425;0.019090186
59.8;39.9;2365;60;39;0.921954446;0.031113196
15.6;62;2122;15;63;1.166190379;0.039355426
78;8.7;3131;76;9;2.022374842;0.068249082
70.6;44.1;2989;71;44;0.412310563;0.013914244
63.3;97.9;3882;63;101;3.1144823;0.105104432
17.8;26.7;3729;17;27;0.854400375;0.028833449
46.1;20.1;2693;47;20;0.905538514;0.030559208
108.2;40.8;3674;109;44;3.2984845;0.111313954
94.5;61.8;3664;95;60;1.868154169;0.063044598
-1.2;37.4;4507;3;35;4.837354649;0.163246204
73;48;3564;73;48;0;0
61.9;-6;4268;65;-8;3.689173349;0.124498531
58;57;1999;58;57;0;0
43.3;70.8;4183;44;71;0.728010989;0.024568186
68.4;64.2;3175;68;65;0.894427191;0.030184234
44.7;22.7;3847;44;23;0.761577311;0.025700949
65.2;67.2;2526;65;67;0.282842712;0.009545093
75.9;52.8;3624;76;54;1.204159458;0.040636768
37;63.9;4244;37;64;0.1;0.0033747
45;80.1;3761;45;80;0.1;0.0033747
40.6;64.4;4168;42;64;1.456021978;0.049136373
65.2;20.1;2504;64;20;1.204159458;0.040636768
29.6;31;3403;30;31;0.4;0.0134988
21.6;14.8;3675;22;15;0.447213595;0.015092117
32.2;65.5;4359;31;66;1.3;0.043871099
9.5;12.5;4458;13;15;4.301162634;0.145151333
19.5;4.7;2153;20;1;3.733630941;0.125998841
40.2;24.2;2625;40;24;0.282842712;0.009545093
59.2;29.7;4085;60;29;1.063014581;0.035873552
33.9;21.7;2458;34;22;0.316227766;0.010671738
50.9;96.1;951;50;98;2.102379604;0.070949003
48.3;44.7;4009;49;44;0.989949494;0.033407825
98.6;42.1;3966;99;42;0.412310563;0.013914244
60;77.5;3700;59;78;1.118033989;0.037730292
31.9;71.8;3040;33;71;1.360147051;0.045900882
51.2;17.2;727;50;17;1.216552506;0.041054997
72.3;63.8;3481;73;64;0.728010989;0.024568186
21.8;91;3616;19;89;3.440930107;0.116121066
33.9;14.9;3780;34;14;0.905538514;0.030559208
40.7;46.8;65;41;46;0.854400375;0.028833449
39.2;51.1;2450;39;52;0.921954446;0.031113196
142;-9.9;3032;145;-10;3.001666204;0.101297227
124.8;-1.4;3854;126;-3;2;0.067493999
16.9;-11.1;2152;20;-10;3.289376841;0.111006598
103.5;-84.1;4351;111;-22;62.55125898;2.110917296
135.1;39.1;3720;137;41;2.687005769;0.090678382
121;33.7;3943;120;32;1.972308292;0.066559487
107.3;93.1;2516;109;92;2.024845673;0.068332466
